City,Region,UNDP GII,SDG_3_1,SDG_3_7,SDG_4_4 (Female),SDG_5_5 (Female),Female Labour force %,SDG11_71,Safety Walk Night,day gap,night gap,day female gini,night female gini,day female gini_pop_normalized,night female gini_pop_normalized
Singapore,Southeast Asia,0.031,7.5,2.2,82.9,29.1,62.6,18.55,77.72,0.55,0.614,0.722,0.788,0.89,0.685
Seoul,East Asia,0.038,8.1,0.5,85,19.1,56.1,30.64,73.96,0.6544,0.7136,0.808,0.912,0.932,0.865
Hong Kong,East Asia,0.039,23,1.1,77.9,26.5,52.2,33.88,76.32,0.5822,0.5495,0.79,0.802,0.758,0.889
Dubai,Middle East,0.04,9.3,3.1,83.4,50,54.5,16.89,83.16,0.2919,0.498,0.825,0.918,0.973,0.922
Sydney,Pacific,0.056,2.9,6.7,92.3,44.5,62.8,19.79,54.48,0.456,0.5002,0.733,0.868,0.88,0.853
Brisbane,Pacific,0.056,2.9,6.7,92.3,44.5,62.8,22.25,49.33,0.4011,0.4506,0.747,0.796,0.916,0.807
Melbourne,Pacific,0.056,2.9,6.7,92.3,44.5,62.8,18.12,42.78,0.5944,0.6403,0.79,0.922,0.9,0.857
Osaka,East Asia,0.059,4.3,1.7,98.2,15.7,54.8,24.03,61.69,0.7426,0.6508,0.934,0.983,0.975,0.96
Auckland,Pacific,0.082,7,10.9,82.9,44.3,67.6,16.66,38.51,0.4584,0.5004,0.736,0.898,0.973,0.845
Shanghai,East Asia,0.132,23,5.2,68.3,26.5,54.6,7.36,71.67,0.731,0.6245,0.827,0.899,0.979,0.874
Shenzhen,East Asia,0.132,23,5.2,68.3,26.5,54.6,13.33,68.06,0.7547,0.7826,0.726,0.824,0.873,0.974
Chengdu,East Asia,0.132,23,5.2,68.3,26.5,54.6,10.85,77.85,0.7322,0.7905,0.722,0.825,0.961,0.946
Kuala Lumpur,Southeast Asia,0.172,21,6,79,14.7,55.8,17.45,31.61,0.5279,0.5964,0.728,0.864,0.954,0.913
Doha,Middle East,0.195,8,5.7,86.7,4.4,61.7,18.07,82.11,0.4497,0.7132,0.971,0.831,0.981,0.904
Riyadh,Middle East,0.228,16.2,11.1,75.7,19.9,34.6,20.47,71.85,0.6521,0.7373,0.972,0.938,0.98,0.988
Bandar Seri Begawan,Southeast Asia,0.257,44,8.5,86,11.8,54.4,24.55,74.14,0.7147,0.7016,0.807,0.959,0.966,0.968
Ulaanbaatar,South/Central Asia,0.284,39,19.7,94.2,17.1,52.8,11.31,38.81,0.1438,0.4972,0.736,0.933,0.932,0.992
Bangkok,Southeast Asia,0.288,28.6,26.1,51.9,16,60.6,9.17,58.01,0.5448,0.5549,0.752,0.85,0.965,0.921
Toshkent,South/Central Asia,0.291,30.2,34.1,100,30,43.6,15.23,72.1,0.5634,0.635,0.951,0.984,0.985,0.993
Ho Chi Minh,Southeast Asia,0.299,46,34.3,61.5,30.3,67.9,8.27,41.69,0.5249,0.5283,0.715,0.757,0.95,0.817
Manila,Southeast Asia,0.351,78,31.9,63.6,27.5,50.2,11.78,29.91,0.7736,0.5478,0.846,0.834,0.949,0.925
Mumbai,South/Central Asia,0.403,102.7,14.1,43.5,14.8,35.1,19.62,54.64,0.7116,0.7707,0.82,0.938,0.994,0.992
Jakarta,Southeast Asia,0.423,172.9,26.4,53.5,21.6,53.4,9.58,34.93,0.5435,0.5862,0.771,0.919,0.948,0.886
Tehran,Middle East,0.482,22,26.2,59.1,5.6,13.6,23.86,34.96,0.5922,0.6607,0.724,0.944,0.955,0.903
Dhaka,South/Central Asia,0.487,123,73.2,43.2,20.9,43.4,6.3,25.28,0.8941,0.8994,0.981,0.99,0.993,0.989
