grid_id,lon,lat,grid_area_m2,Pop_Total,Pop_Tota_20_50,Pop_Female_20_50,Pop_Male_20_50,NDVI,walkability_global_z,walkability_city_z,gdp_2022,built_density_2020,ssx_choice_r5000,ssx_has_segment,gdp_source_distance_m,Female_Employment_Rate_15plus_WorldBank,Labour_force_participation_rate_F_Fig4,SDG11_71pct,SDG_3_1_Maternal_mortality_ratio,SDG_3_7_Adolescent_birth_rate,SDG_5_5_Share_of_seats_in_parliament,SDG_4_4_Population_with_at_least_some_secondary_education_F,city,NDVI_z,gdp_2022_z,built_density_2020_z,ssx_choice_r5000_z,Pop_Female_20_50_z,Pop_Male_20_50_z,Pop_Total_z,Female_Employment_Rate_15plus_WorldBank_z,Labour_force_participation_rate_F_Fig4_z,SDG11_71pct_z,SDG_3_1_Maternal_mortality_ratio_z,SDG_3_7_Adolescent_birth_rate_z,SDG_5_5_Share_of_seats_in_parliament_z,SDG_4_4_Population_with_at_least_some_secondary_education_F_z,land_use_type
169,174.4251757,-36.81515175,40000,0.0145086,0.00821176,0.00407708,0.00413476,0.7799,-0.493836828,-0.447194855,187463950,0.009566767,290145.9893,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.560776642,-0.662359574,-1.613762898,-0.638135339,-0.662849027,-0.683721926,-0.678226922,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,peripheral
170,174.4252361,-36.81335063,40000,0.0145086,0.00821176,0.00407708,0.00413476,0.7799,-0.493836828,-0.447194855,187463950,0.005363863,405400.1614,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.560776642,-0.662359574,-1.646546401,-0.613982174,-0.662849027,-0.683721926,-0.678226922,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,peripheral
171,174.4252965,-36.81154952,40000,8.00E-13,4.00E-13,0,0,0.9487,-0.470643857,-0.42649128,187463950,0.003538262,500158.1712,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.556836693,-0.662359574,-1.660786457,-0.594124274,-0.6628868,-0.683760876,-0.678268664,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
429,174.4268728,-36.83141032,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,0.238697873,0.339654647,169814447.6,0.024319145,143634.8306,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.662808029,-1.498691381,-0.668838854,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
430,174.4269332,-36.82960921,40000,12.99614746,7.355750124,3.651954956,3.703794861,0.8486,0.279080867,0.349514202,187463950,0.020514893,99632.09632,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.662359574,-1.528365314,-0.678060258,-0.629051815,-0.648870742,-0.640877983,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
436,174.4272952,-36.8188025,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.021837455,255063.8869,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.518049057,-0.645487297,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
437,174.4273555,-36.81700139,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.01404286,645572.3446,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.578848473,-0.563650648,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
438,174.4274159,-36.81520027,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.511947028,-0.441186684,187463950,0.008463916,596055.6401,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.622365359,-0.574027584,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
695,174.4289325,-36.83686217,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.438397748,-0.257026718,164387580,0.010614156,692644.5888,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.605593055,-0.553785984,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
696,174.4289928,-36.83506106,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.275842322,-0.111026324,164387580,0.016947125,776377.8313,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.556194617,-0.536238482,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
697,174.4290531,-36.83325994,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,0.215475669,0.318797447,164387580,0.019193094,863714.8805,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.538675611,-0.517935751,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
698,174.4291134,-36.83145882,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,0.261920077,0.360511846,169814447.6,0.017686881,581947.5688,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.662808029,-1.550424378,-0.576984133,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
699,174.4291737,-36.8296577,40000,12.99614746,7.355750124,3.651954956,3.703794861,0.8486,0.325525275,0.3912286,187463950,0.013002482,614786.0944,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.662359574,-1.586963629,-0.570102349,-0.629051815,-0.648870742,-0.640877983,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
701,174.4292943,-36.82605547,40000,12.99614746,7.355750124,3.651954956,3.703794861,0.8486,0.04685883,0.14094221,187463950,0.016896496,499061.1698,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.662359574,-1.55658954,-0.594354166,-0.629051815,-0.648870742,-0.640877983,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
704,174.4294752,-36.8206521,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.025701626,867914.8637,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.487907746,-0.517055584,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
705,174.4295354,-36.81885098,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.018924652,719166.4961,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.540769508,-0.548227938,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
963,174.4311129,-36.83871176,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.50806436,-0.319598315,164387580,0.004326274,362883.6169,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.654639803,-0.622892126,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
964,174.4311732,-36.83691064,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.484842156,-0.298741116,164387580,0.00890647,551684.475,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.618913349,-0.583326198,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
965,174.4312335,-36.83510952,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.32228673,-0.152740722,164387580,0.0134027,74625.46545,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.583841851,-0.683300756,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
