scenario,sex,outcome_transform,ntl_transform,k,n,AIC_linear,AIC_smooth,delta_AIC,chi_sq,df_diff,p_value,edf_ntl,adj_r2,dev_explained
female_dropzero_log_rawntl_k4,female,dropzero_log,raw,4,292955,1102962.742979832,1100414.7396464196,2548.003333412344,2552.0283080001827,2.012487293879716,0.0,2.9986574459017104,0.1237392436713884,0.1238699297027129
female_dropzero_log_rawntl_k5,female,dropzero_log,raw,5,292955,1102962.742979832,1099960.413734833,3002.329244998982,3008.3187134191394,2.9947342099816225,0.0,3.996702370304374,0.1243276579906418,0.1244612291110641
female_dropzero_log_rawntl_k6,female,dropzero_log,raw,6,292955,1102962.742979832,1099726.83408449,3235.9088953419123,3243.922334394185,4.006719526064138,0.0,4.993083261159786,0.1249124102877608,0.1250488585822556
female_dropzero_log_rawntl_k7,female,dropzero_log,raw,7,292955,1102962.742979832,1099550.6852928123,3412.0576870196965,3422.0912364532705,5.016774716798516,0.0,5.98919832248307,0.1252095062791984,0.1253486557235533
female_dropzero_log_rawntl_k8,female,dropzero_log,raw,8,292955,1102962.742979832,1099404.4000961832,3558.3428836488165,3570.3749609787483,6.016038664971788,0.0,6.984933605278108,0.1256884321239622,0.1258305501175258
male_dropzero_log_rawntl_k4,male,dropzero_log,raw,4,1116344,4304515.944805647,4286096.079784318,18419.865021329373,18423.795878970064,1.965428820469242,0.0,2.9996296686005666,0.1707826355607393,0.1708159470903618
male_dropzero_log_rawntl_k5,male,dropzero_log,raw,5,1116344,4304515.944805647,4283265.862284181,21250.08252146654,21256.01161023602,2.964544384618428,0.0,3.9994586302532777,0.1723682223171542,0.1724022075651268
male_dropzero_log_rawntl_k6,male,dropzero_log,raw,6,1116344,4304515.944805647,4280652.401711116,23863.543094531637,23871.48236455489,3.96963501149672,0.0,4.999223623969476,0.1737315667284795,0.1737662320480213
male_dropzero_log_rawntl_k7,male,dropzero_log,raw,7,1116344,4304515.944805647,4279733.761252953,24782.183552694507,24792.123695689257,4.970071497278866,0.0,5.998237444205111,0.1744466431555366,0.1744820022511967
male_dropzero_log_rawntl_k8,male,dropzero_log,raw,8,1116344,4304515.944805647,4279151.91713942,25364.02766622696,25375.97037448361,5.971354128319781,0.0,6.997447645355019,0.1750388601881307,0.1750749149641926
