scenario,sex,outcome_transform,ntl_transform,k,scope,city,landuse,status,support_min_raw,support_max_raw,derivative_peak_raw,derivative_peak_fit,derivative_peak_source,global_peak_raw,global_peak_fit,n_local_peaks,peak_rel_position,boundary_flag,segmented_breakpoint_raw,segmented_window_lo_raw,segmented_window_hi_raw,saturation_onset_20pct_derivative_raw,saturation_onset_10pct_derivative_raw,x90_gain_raw,operating_low_raw,operating_high_raw,operating_low_source,operating_width_raw,baseline_fit,gain_to_peak_fit
female_dropzero_log_rawntl_k4,female,dropzero_log,raw,4,landuse_independent,,recreational,ok,1.441977783e-05,0.0049734336358059,0.0049734336358059,2.367805390301067,boundary_global_max_no_internal_turning_point,0.0049734336358059,2.367805390301067,0,1.0,near_upper_curve_boundary,0.0023572062414032,0.0023572062414032,0.0049734336358059,0.004489964318176,,0.0037440402281183,0.004489964318176,0.0049734336358059,derivative20,0.00048346931762997206,1.3944260893406857,0.9733793009603816
female_dropzero_log_rawntl_k4,female,dropzero_log,raw,4,landuse_independent,,residential,ok,1.4714069106e-05,0.0085770864804491,0.0063589788641401,1.9211231864816616,dominant_positive_to_negative_derivative,0.0063351282446099,1.9211313841022888,1,0.7409470752089137,interior,0.0046994780151286,0.0046994780151286,0.0063589788641401,0.005524207180583,0.0059058170930662,0.004594033018905,0.005524207180583,0.0063589788641401,derivative20,0.0008347716835571265,1.355444703773422,0.5656784827082395
female_dropzero_log_rawntl_k4,female,dropzero_log,raw,4,landuse_independent,,commercial,ok,0.0001097596235644,0.0140412842109292,0.0140412842109292,2.637230935222021,boundary_global_max_no_internal_turning_point,0.0140412842109292,2.637230935222021,0,1.0,near_upper_curve_boundary,0.0074649459767199,0.0074649459767199,0.0140412842109292,0.0118293151260272,0.0130711223315862,0.0099666043176888,0.0118293151260272,0.0140412842109292,derivative20,0.0022119690849019,1.9671866893681111,0.6700442458539095
female_dropzero_log_rawntl_k5,female,dropzero_log,raw,5,landuse_independent,,recreational,ok,1.441977783e-05,0.0049734336358059,0.0049734336358059,2.384591454766041,boundary_global_max_no_internal_turning_point,0.0049734336358059,2.384591454766041,0,1.0,near_upper_curve_boundary,0.0017378221126459,0.0017378221126459,0.0049734336358059,,,0.0041860693185229,0.0041860693185229,0.0049734336358059,x90_gain,0.000787364317283097,1.3891334077480528,0.9954580470179883
female_dropzero_log_rawntl_k5,female,dropzero_log,raw,5,landuse_independent,,residential,ok,1.4714069106e-05,0.0085770864804491,0.0053811034634018,1.8779111822121577,dominant_positive_to_negative_derivative,0.0053572528438716,1.8779184028375355,1,0.626740947075209,interior,0.0039338775453632,0.0039338775453632,0.0053811034634018,0.0044986305407842,0.0048802404532675,0.0037592613353479,0.0044986305407842,0.0053811034634018,derivative20,0.000882472922617534,1.342303200265497,0.5356079819466604
female_dropzero_log_rawntl_k5,female,dropzero_log,raw,5,landuse_independent,,commercial,ok,0.0001097596235644,0.0140412842109292,0.0140412842109292,2.6331686300947705,boundary_global_max_no_internal_turning_point,0.0140412842109292,2.6331686300947705,0,1.0,near_upper_curve_boundary,0.0075162196720054,0.0075162196720054,0.0140412842109292,0.0115964762749849,0.0129158964308913,0.0098113784169939,0.0115964762749849,0.0140412842109292,derivative20,0.0024448079359442,1.9668832635987687,0.6662853664960013
female_dropzero_log_rawntl_k6,female,dropzero_log,raw,6,landuse_independent,,recreational,ok,1.441977783e-05,0.0049734336358059,0.0049734336358059,2.515726641114296,boundary_global_max_no_internal_turning_point,0.0049734336358059,2.515726641114296,0,1.0,near_upper_curve_boundary,0.0009240070934689776,0.0009240070934689776,0.0049734336358059,0.0016996556849973,0.0047247922724534,0.0039788681823957,0.0016996556849973,0.0049734336358059,derivative20,0.0032737779508086,1.3817253400505105,1.134001301063786
female_dropzero_log_rawntl_k6,female,dropzero_log,raw,6,landuse_independent,,residential,ok,1.4714069106e-05,0.0085770864804491,0.0053095516048112,1.860955522964166,dominant_positive_to_negative_derivative,0.005285700985281,1.860956365477436,1,0.6183844011142061,interior,0.0034171516997591,0.0034171516997591,0.0053095516048112,0.004117020628301,0.004594033018905,0.0034969045205157,0.004117020628301,0.0053095516048112,derivative20,0.0011925309765101,1.3363257707245986,0.5246297522395673
female_dropzero_log_rawntl_k6,female,dropzero_log,raw,6,landuse_independent,,commercial,ok,0.0001097596235644,0.0140412842109292,0.0127606705301965,2.647216139683742,dominant_positive_to_negative_derivative,0.0127606705301965,2.647216139683742,1,0.9080779944289692,interior,0.0087319067123245,0.0087319067123245,0.0127606705301965,0.01144125037429,0.0120233475018958,0.0097337654666464,0.01144125037429,0.0127606705301965,derivative20,0.0013194201559064,1.9609833560018408,0.6862327836819015
female_dropzero_log_rawntl_k7,female,dropzero_log,raw,7,landuse_independent,,recreational,ok,1.441977783e-05,0.0049734336358059,0.0016167752305464,1.9164558117169688,dominant_positive_to_negative_derivative,0.0049734336358059,2.45578780203264,1,0.3231197771587744,interior,0.0007808559155479246,0.0007808559155479246,0.0016167752305464,0.0012576265945927,0.001381947276269,0.0010642388675407,0.0012576265945927,0.0016167752305464,derivative20,0.00035914863595369346,1.2845313518288095,0.6319244598881593
female_dropzero_log_rawntl_k7,female,dropzero_log,raw,7,landuse_independent,,residential,ok,1.4714069106e-05,0.0085770864804491,0.0080046716117242,1.92895454099604,dominant_positive_to_negative_derivative,0.0080046716117242,1.92895454099604,1,0.9331476323119778,interior,0.0024589716745531,0.0024589716745531,0.0080046716117242,0.0033060995642741,0.0037354107158177,0.0063112776250797,0.0033060995642741,0.0080046716117242,derivative20,0.0046985720474501,1.3524847475471689,0.5764697934488714
female_dropzero_log_rawntl_k7,female,dropzero_log,raw,7,landuse_independent,,commercial,ok,0.0001097596235644,0.0140412842109292,0.012683057579849,2.664653154944052,dominant_positive_to_negative_derivative,0.012683057579849,2.664653154944052,1,0.9025069637883008,interior,0.0093253027478136,0.0093253027478136,0.012683057579849,0.0115964762749849,,0.0098501848921676,0.0115964762749849,0.012683057579849,derivative20,0.0010865813048641,1.956771785230256,0.7078813697137962
female_dropzero_log_rawntl_k8,female,dropzero_log,raw,8,landuse_independent,,recreational,ok,1.441977783e-05,0.0049734336358059,0.0012299997764425,1.891706326462764,dominant_positive_to_negative_derivative,0.0049734336358059,2.5009343112160893,1,0.245125348189415,interior,0.0006739483089619801,0.0006739483089619801,0.0012299997764425,0.0010227986403153,0.0011194925038413,0.0008570377314136656,0.0010227986403153,0.0012299997764425,derivative20,0.000207201136127131,1.2487087461783968,0.6429975802843673
female_dropzero_log_rawntl_k8,female,dropzero_log,raw,8,landuse_independent,,residential,ok,1.4714069106e-05,0.0085770864804491,0.0065974850594422,2.1160053818549907,dominant_positive_to_negative_derivative,0.0065974850594422,2.1160053818549907,2,0.7688022284122563,interior,0.0069529822246206,0.0065974850594422,0.0069529822246206,0.0023520747830659,0.0025428797393075,0.005881966473536,0.0023520747830659,0.0065974850594422,derivative20,0.0042454102763762,1.3330658769585235,0.7829395048964671
female_dropzero_log_rawntl_k8,female,dropzero_log,raw,8,landuse_independent,,commercial,ok,0.0001097596235644,0.0140412842109292,0.0135368000336708,2.743283265977494,dominant_positive_to_negative_derivative,0.0135368000336708,2.743283265977494,1,0.9637883008356546,near_upper_curve_boundary,0.0073023244284513,0.0073023244284513,0.0135368000336708,0.00841434531074,0.0088800230128246,0.0118293151260272,0.00841434531074,0.0135368000336708,derivative20,0.0051224547229307,1.9562513509930053,0.7870319149844884
